COH	DAC	ELOC	HALSTEADLENGHT	HALSTEADVOCABULARY	HALSTEADVOLUME	ID	LCC	LCOM	LOC	MCCABEMETRIC	MPC	NAME	NOA	NOO	NUMBEROFCHILDREN	NUMBEROFIMPORTS	NUMBOFATTRIBUTES	NUMBOFMETHODS	PATTERNROLE	PATTERNTYPE	RFC	TCC
-1	0	35	45	135	220.73736502972935	345	-1	28	70	13	12	net.sf.jsqlparser.schema.DatabaseTest	0	0	0	6	0	8			20	0
-1	0	37	83	212	444.596660797777	354	-1	10	73	7	19	net.sf.jsqlparser.schema.TableTest	0	0	0	9	0	5			24	-1
-1	0	23	29	94	131.75554868583012	379	-1	6	50	8	24	net.sf.jsqlparser.schema.SequenceTest	0	0	0	2	0	4			28	0
-1	0	57	51	280	287.3742697616317	213	-1	36	87	28	34	net.sf.jsqlparser.schema.ServerTest	0	0	0	2	0	9			43	0
-1	0	14	28	56	112.70984734058419	279	-1	1	33	4	2	net.sf.jsqlparser.schema.ColumnTest	0	0	0	2	0	2			4	-1
0	2	70	183	471	1126.3390312050044	54	-1	43	123	27	16	net.sf.jsqlparser.schema.Column	14	0	0	4	2	14			30	-1
0	2	79	105	405	630.4081420461865	510	-1	87	115	31	24	net.sf.jsqlparser.schema.Synonym	15	0	0	4	5	15			39	-1
-1	0	3	7	7	13.621371043387192	211	0	0	15	2	0	net.sf.jsqlparser.schema.MultiPartName	0	0	0	0	0	1			1	0
0	2	59	65	307	372.2451035931678	212	-1	5	86	23	12	net.sf.jsqlparser.schema.Server	0	0	0	1	4	10	realsubject	Proxy	22	-1
0	4	151	183	712	1201.9582577883916	376	-1	142	218	41	37	net.sf.jsqlparser.schema.Sequence	20	0	0	6	7	20			57	-1
0	2	47	49	211	262.24104854032726	210	-1	0	74	18	8	net.sf.jsqlparser.schema.Database	0	0	0	0	2	10	proxy	Proxy	18	-1
0	7	156	196	803	1310.9175239335652	55	-1	523	244	64	35	net.sf.jsqlparser.schema.Table	35	0	0	12	10	35			70	-1
-1	0	36	62	207	330.62856518245286	346	-1	28	68	22	21	net.sf.jsqlparser.expression.FunctionWithBooleanParameterTest	0	0	0	3	0	8			29	0
-1	0	33	49	133	239.62710728286592	283	-1	21	68	10	9	net.sf.jsqlparser.expression.LongValueTest	0	0	0	7	0	7			16	0
-1	0	9	29	42	108.39241893021769	545	0	0	27	2	1	net.sf.jsqlparser.expression.CastExpressionTest	0	0	0	3	0	1			2	0
-1	0	22	39	77	169.40841145229368	214	0	15	54	9	2	net.sf.jsqlparser.expression.SignedExpressionTest	0	0	0	8	0	6			8	0
-1	0	43	109	381	647.7651318888104	548	-1	6	100	12	11	net.sf.jsqlparser.expression.OracleNamedFunctionParameterTest	0	0	0	11	0	4			15	0
-1	0	45	57	181	296.31433078215207	278	-1	45	83	12	10	net.sf.jsqlparser.expression.StringValueTest	0	0	0	6	0	10			20	0
-1	0	16	31	86	138.08476618385873	318	-1	1	40	6	12	net.sf.jsqlparser.expression.TimestampValueTest	0	0	0	7	0	2			14	0
-1	0	11	26	42	97.17941007536758	310	0	0	32	2	4	net.sf.jsqlparser.expression.ExpressionPrecedenceTest	0	0	0	6	0	1			5	0
-1	0	84	172	899	1169.8206819291186	539	-1	28	193	16	29	net.sf.jsqlparser.expression.JsonFunctionTest	0	0	0	5	0	8			37	0
-1	0	172	212	1084	1481.5435945839135	253	-1	378	275	48	94	net.sf.jsqlparser.expression.ExpressionVisitorAdapterTest	0	0	0	20	0	28			122	-1
0	2	45	74	200	392.0754851245547	282	-1	18	75	18	7	net.sf.jsqlparser.expression.NotExpression	12	0	0	1	2	12			19	-1
0	3	51	73	232	397.6118281316406	191	-1	53	84	22	7	net.sf.jsqlparser.expression.IntervalExpression	14	0	0	2	4	14			21	-1
0	3	33	42	137	206.63919888478125	275	1	4	58	13	4	net.sf.jsqlparser.expression.DateTimeLiteralExpression	8	0	0	1	3	8			12	1
0	3	32	58	140	286.6152605113396	394	1	10	58	12	2	net.sf.jsqlparser.expression.VariableAssignment	8	0	0	1	3	8			10	1
-1	0	8	21	34	74.05357101693939	14	0	1	25	3	1	net.sf.jsqlparser.expression.NullValue	2	0	0	1	0	2			3	0
0	2	63	105	349	614.7825518312549	16	2	7	98	22	12	net.sf.jsqlparser.expression.StringValue	11	0	0	3	3	11			23	2
0	2	33	57	144	283.279358075832	7	1	7	57	11	5	net.sf.jsqlparser.expression.DoubleValue	7	0	0	1	2	7			12	1
0	1	45	76	204	404.1771195321604	19	-1	21	72	17	7	net.sf.jsqlparser.expression.WhenClause	10	0	0	1	2	10			17	-1
0	1	22	51	96	232.78175776485963	554	-1	4	62	8	5	net.sf.jsqlparser.expression.ConnectByRootOperator	5	0	0	3	1	5			10	-1
1	1	34	52	186	271.73882703308647	323	2	0	58	13	16	net.sf.jsqlparser.expression.OrderByClause	0	0	0	6	1	6			22	2
0	2	30	51	141	252.3867544092866	232	1	1	71	10	7	net.sf.jsqlparser.expression.JsonExpression	6	0	0	3	3	6			13	1
0	1	22	67	116	318.49054280412645	319	1	0	47	8	3	net.sf.jsqlparser.expression.ValueListExpression	5	0	0	2	1	5			8	1
0	1	24	33	99	151.63895505444145	200	1	1	47	10	2	net.sf.jsqlparser.expression.JdbcNamedParameter	7	0	0	1	1	7			9	1
0	3	29	58	140	286.6152605113396	403	1	10	59	12	5	net.sf.jsqlparser.expression.XMLSerializeExpr	8	0	0	5	3	8			13	1
0	1	47	70	202	371.57873881808433	13	-1	10	77	19	9	net.sf.jsqlparser.expression.LongValue	12	0	0	2	1	12			21	-1
0	3	57	82	279	461.75936610935196	261	2	5	87	20	8	net.sf.jsqlparser.expression.OracleHint	10	0	0	3	4	10			18	2
0	8	221	249	1228	1771.1723850680648	10	-1	633	291	77	23	net.sf.jsqlparser.expression.Function	39	0	0	7	12	39			62	-1
0	1	19	32	82	141.0150159124561	242	1	0	40	8	2	net.sf.jsqlparser.expression.NumericBind	5	0	0	1	1	5			7	1
0	3	50	81	267	452.5671413304202	252	1	25	79	20	7	net.sf.jsqlparser.expression.RowConstructor	11	0	0	4	3	11			18	1
0	3	88	109	431	661.2057818213085	538	-1	76	126	31	15	net.sf.jsqlparser.expression.JsonKeyValuePair	0	0	0	1	5	16			31	-1
0	2	40	51	180	264.8407993954007	370	1	4	67	16	5	net.sf.jsqlparser.expression.SQLServerHints	0	0	0	2	2	9			14	1
0	2	39	49	172	252.22722936385918	348	-1	17	67	17	6	net.sf.jsqlparser.expression.CollateExpression	11	0	0	1	2	11			17	-1
0	3	40	70	208	373.62766557909225	347	-1	2	69	16	8	net.sf.jsqlparser.expression.NextValExpression	8	0	0	3	3	8			16	-1
0	3	67	91	338	529.8971764889548	246	1	37	107	26	22	net.sf.jsqlparser.expression.KeepExpression	14	0	0	7	3	14			36	1
0	2	79	81	401	485.5108756118321	201	-1	84	110	29	13	net.sf.jsqlparser.expression.OracleHierarchicalExpression	16	0	0	1	4	16			29	-1
